--- Round 01 ---
Node 000 | 🟡           | Clock:  800.00
Node 001 | 🟡           | Clock:  800.00
Node 002 | 🟡           | Clock:  800.00
Node 003 | 🟡           | Clock:  800.00
Node 004 | 🟡           | Clock:  200.00
Node 005 | 🟡           | Clock:  200.00
Node 006 | 🟡           | Clock:  200.00
Node 007 | 🟡           | Clock:  200.00
Node 008 | 🟡           | Clock:  200.00
Node 009 | 🟡           | Clock:  200.00
--- Round 02 ---
Node 000 | 🟡           | Clock:  680.00
Node 001 | 🟡           | Clock:  680.00
Node 002 | 🟡           | Clock:  680.00
Node 003 | 🟡           | Clock:  680.00
Node 004 | 🟡           | Clock:  320.00
Node 005 | 🟡           | Clock:  320.00
Node 006 | 🟡           | Clock:  320.00
Node 007 | 🟡           | Clock:  320.00
Node 008 | 🟡           | Clock:  320.00
Node 009 | 🟡           | Clock:  320.00
--- Round 03 ---
Node 000 | 🟡           | Clock:  608.00
Node 001 | 🟡           | Clock:  608.00
Node 002 | 🟡           | Clock:  608.00
Node 003 | 🟡           | Clock:  608.00
Node 004 | 🟡           | Clock:  392.00
Node 005 | 🟡           | Clock:  392.00
Node 006 | 🟡           | Clock:  392.00
Node 007 | 🟡           | Clock:  392.00
Node 008 | 🟡           | Clock:  392.00
Node 009 | 🟡           | Clock:  392.00
--- Round 04 ---
Node 000 | 🟡           | Clock:  564.80
Node 001 | 🟡           | Clock:  564.80
Node 002 | 🟡           | Clock:  564.80
Node 003 | 🟡           | Clock:  564.80
Node 004 | 🟡           | Clock:  435.20
Node 005 | 🟡           | Clock:  435.20
Node 006 | 🟡           | Clock:  435.20
Node 007 | 🟡           | Clock:  435.20
Node 008 | 🟡           | Clock:  435.20
Node 009 | 🟡           | Clock:  435.20
--- Round 05 ---
Node 000 | 🟡           | Clock:  538.88
Node 001 | 🟡           | Clock:  538.88
Node 002 | 🟡           | Clock:  538.88
Node 003 | 🟡           | Clock:  538.88
Node 004 | 🟡           | Clock:  461.12
Node 005 | 🟡           | Clock:  461.12
Node 006 | 🟡           | Clock:  461.12
Node 007 | 🟡           | Clock:  461.12
Node 008 | 🟡           | Clock:  461.12
Node 009 | 🟡           | Clock:  461.12
--- Round 06 ---
Node 000 | 🟡           | Clock:  523.33
Node 001 | 🟡           | Clock:  523.33
Node 002 | 🟡           | Clock:  523.33
Node 003 | 🟡           | Clock:  523.33
Node 004 | 🟡           | Clock:  476.67
Node 005 | 🟡           | Clock:  476.67
Node 006 | 🟡           | Clock:  476.67
Node 007 | 🟡           | Clock:  476.67
Node 008 | 🟡           | Clock:  476.67
Node 009 | 🟡           | Clock:  476.67
--- Round 07 ---
Node 000 | 🟡           | Clock:  514.00
Node 001 | 🟡           | Clock:  514.00
Node 002 | 🟡           | Clock:  514.00
Node 003 | 🟡           | Clock:  514.00
Node 004 | 🟡           | Clock:  486.00
Node 005 | 🟡           | Clock:  486.00
Node 006 | 🟡           | Clock:  486.00
Node 007 | 🟡           | Clock:  486.00
Node 008 | 🟡           | Clock:  486.00
Node 009 | 🟡           | Clock:  486.00
--- Round 08 ---
Node 000 | 🟡           | Clock:  508.40
Node 001 | 🟡           | Clock:  508.40
Node 002 | 🟡           | Clock:  508.40
Node 003 | 🟡           | Clock:  508.40
Node 004 | 🟡           | Clock:  491.60
Node 005 | 🟡           | Clock:  491.60
Node 006 | 🟡           | Clock:  491.60
Node 007 | 🟡           | Clock:  491.60
Node 008 | 🟡           | Clock:  491.60
Node 009 | 🟡           | Clock:  491.60
--- Round 09 ---
Node 000 | 🟢           | Clock:  505.04
Node 001 | 🟢           | Clock:  505.04
Node 002 | 🟢           | Clock:  505.04
Node 003 | 🟢           | Clock:  505.04
Node 004 | 🟢           | Clock:  494.96
Node 005 | 🟢           | Clock:  494.96
Node 006 | 🟢           | Clock:  494.96
Node 007 | 🟢           | Clock:  494.96
Node 008 | 🟢           | Clock:  494.96
Node 009 | 🟢           | Clock:  494.96
--- Round 10 ---
Node 000 | 🟢           | Clock:  503.02
Node 001 | 🟢           | Clock:  503.02
Node 002 | 🟢           | Clock:  503.02
Node 003 | 🟢           | Clock:  503.02
Node 004 | 🟢           | Clock:  496.98
Node 005 | 🟢           | Clock:  496.98
