--- Round 01 ---
Node 000 | RECOVERING  | UTC: 02:39:40.384
Node 001 | RECOVERING  | UTC: 02:39:40.385
Node 002 | RECOVERING  | UTC: 02:39:40.385
Node 003 | RECOVERING  | UTC: 02:39:40.385
Node 004 | RECOVERING  | UTC: 02:03:40.385
Node 005 | RECOVERING  | UTC: 02:03:40.385
Node 006 | RECOVERING  | UTC: 02:03:40.385
Node 007 | RECOVERING  | UTC: 02:03:40.385
Node 008 | RECOVERING  | UTC: 02:03:40.385
Node 009 | RECOVERING  | UTC: 02:03:40.385
--- Round 02 ---
Node 000 | RECOVERING  | UTC: 02:32:28.385
Node 001 | RECOVERING  | UTC: 02:32:28.385
Node 002 | RECOVERING  | UTC: 02:32:28.385
Node 003 | RECOVERING  | UTC: 02:32:28.385
Node 004 | RECOVERING  | UTC: 02:10:52.385
Node 005 | RECOVERING  | UTC: 02:10:52.385
Node 006 | RECOVERING  | UTC: 02:10:52.385
Node 007 | RECOVERING  | UTC: 02:10:52.385
Node 008 | RECOVERING  | UTC: 02:10:52.385
Node 009 | RECOVERING  | UTC: 02:10:52.385
--- Round 03 ---
Node 000 | RECOVERING  | UTC: 02:28:09.185
Node 001 | RECOVERING  | UTC: 02:28:09.185
Node 002 | RECOVERING  | UTC: 02:28:09.185
Node 003 | RECOVERING  | UTC: 02:28:09.185
Node 004 | RECOVERING  | UTC: 02:15:11.585
Node 005 | RECOVERING  | UTC: 02:15:11.585
Node 006 | RECOVERING  | UTC: 02:15:11.585
Node 007 | RECOVERING  | UTC: 02:15:11.585
Node 008 | RECOVERING  | UTC: 02:15:11.585
Node 009 | RECOVERING  | UTC: 02:15:11.585
--- Round 04 ---
Node 000 | RECOVERING  | UTC: 02:25:33.666
Node 001 | RECOVERING  | UTC: 02:25:33.666
Node 002 | RECOVERING  | UTC: 02:25:33.667
Node 003 | RECOVERING  | UTC: 02:25:33.666
Node 004 | RECOVERING  | UTC: 02:17:47.106
Node 005 | RECOVERING  | UTC: 02:17:47.106
Node 006 | RECOVERING  | UTC: 02:17:47.106
Node 007 | RECOVERING  | UTC: 02:17:47.106
Node 008 | RECOVERING  | UTC: 02:17:47.106
Node 009 | RECOVERING  | UTC: 02:17:47.106
--- Round 05 ---
Node 000 | RECOVERING  | UTC: 02:24:00.354
Node 001 | RECOVERING  | UTC: 02:24:00.354
Node 002 | RECOVERING  | UTC: 02:24:00.355
Node 003 | RECOVERING  | UTC: 02:24:00.354
Node 004 | RECOVERING  | UTC: 02:19:20.418
Node 005 | RECOVERING  | UTC: 02:19:20.418
Node 006 | RECOVERING  | UTC: 02:19:20.418
Node 007 | RECOVERING  | UTC: 02:19:20.418
Node 008 | RECOVERING  | UTC: 02:19:20.418
Node 009 | RECOVERING  | UTC: 02:19:20.418
--- Round 06 ---
Node 000 | RECOVERING  | UTC: 02:23:04.367
Node 001 | RECOVERING  | UTC: 02:23:04.367
Node 002 | RECOVERING  | UTC: 02:23:04.368
Node 003 | RECOVERING  | UTC: 02:23:04.367
Node 004 | RECOVERING  | UTC: 02:20:16.405
Node 005 | RECOVERING  | UTC: 02:20:16.405
Node 006 | RECOVERING  | UTC: 02:20:16.405
